target_gene,condition,n_sig_proteins,self_padj,self_lfc
SNRPG,Control,0,,
SAE1,Control,0,,
MYC,Control,0,,
PRELID3B,Control,0,,
NACA,Control,0,,
CSPG4,IFNγ,0,,
EMP1,IFNγ,0,,
NUP50-AS1,IFNγ,0,,
LEF1-AS1,IFNγ,0,,
CYP27A1,IFNγ,0,,
GSEC,IFNγ,0,,
E2F1,IFNγ,0,,
CKS1B,IFNγ,0,,
C19orf48,IFNγ,0,,
CTPS1,IFNγ,0,,
BZW2,IFNγ,0,,
NMRK1,IFNγ,0,,
LGALS3BP,IFNγ,0,,
RTP4,IFNγ,0,,
SLC5A3,IFNγ,0,,
