Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Pattern Recognition Receptor Signaling Pathway (GO:0002221)	1/56	3.037970e-02	5.710259e-02	0	0	3.624364e+01	1.266346e+02	LY96
GO_Biological_Process_2023	Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	1/56	3.037970e-02	5.710259e-02	0	0	3.624364e+01	1.266346e+02	CCND1
GO_Biological_Process_2023	Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)	1/63	3.411758e-02	6.354009e-02	0	0	3.214032e+01	1.085682e+02	CCND1
GO_Biological_Process_2023	Positive Regulation Of Interleukin-1 Production (GO:0032732)	1/64	3.465050e-02	6.376945e-02	0	0	3.162857e+01	1.063493e+02	TMED10
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle (GO:0045787)	1/65	3.518314e-02	6.376945e-02	0	0	3.113281e+01	1.042074e+02	CCND1
GO_Biological_Process_2023	Regulation Of Cell-Matrix Adhesion (GO:0001952)	1/65	3.518314e-02	6.376945e-02	0	0	3.113281e+01	1.042074e+02	CDK6
GO_Biological_Process_2023	Regulation Of Viral Genome Replication (GO:0045069)	1/67	3.624763e-02	6.511743e-02	0	0	3.018636e+01	1.001397e+02	PABPC1
GO_Biological_Process_2023	Establishment Of Protein Localization To Membrane (GO:0090150)	1/69	3.731105e-02	6.565812e-02	0	0	2.929559e+01	9.633754e+01	NPC1
GO_Biological_Process_2023	Response To Molecule Of Bacterial Origin (GO:0002237)	1/69	3.731105e-02	6.565812e-02	0	0	2.929559e+01	9.633754e+01	LY96
GO_Biological_Process_2023	Negative Regulation Of Epithelial Cell Proliferation (GO:0050680)	1/70	3.784236e-02	6.565812e-02	0	0	2.886957e+01	9.452837e+01	CDK6
GO_Biological_Process_2023	Positive Regulation Of Protein Transport (GO:0051222)	1/70	3.784236e-02	6.565812e-02	0	0	2.886957e+01	9.452837e+01	TMED10
GO_Biological_Process_2023	Positive Regulation Of Cell-Substrate Adhesion (GO:0010811)	1/71	3.837341e-02	6.595840e-02	0	0	2.845571e+01	9.277674e+01	CDK6
GO_Biological_Process_2023	Cholesterol Homeostasis (GO:0042632)	1/72	3.890418e-02	6.595840e-02	0	0	2.805352e+01	9.108006e+01	NPC1
GO_Biological_Process_2023	Sterol Homeostasis (GO:0055092)	1/73	3.943469e-02	6.595840e-02	0	0	2.766250e+01	8.943589e+01	NPC1
GO_Biological_Process_2023	Positive Regulation Of Secretion By Cell (GO:1903532)	1/73	3.943469e-02	6.595840e-02	0	0	2.766250e+01	8.943589e+01	TMED10
GO_Biological_Process_2023	Negative Regulation Of Neuron Apoptotic Process (GO:0043524)	1/74	3.996494e-02	6.595840e-02	0	0	2.728219e+01	8.784191e+01	NONO
GO_Biological_Process_2023	Regulation Of mRNA Stability (GO:0043488)	1/74	3.996494e-02	6.595840e-02	0	0	2.728219e+01	8.784191e+01	PABPC1
GO_Biological_Process_2023	Positive Regulation Of Protein Secretion (GO:0050714)	1/76	4.102463e-02	6.716129e-02	0	0	2.655200e+01	8.479601e+01	TMED10
GO_Biological_Process_2023	Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760)	1/78	4.208326e-02	6.834321e-02	0	0	2.585974e+01	8.192638e+01	LY96
GO_Biological_Process_2023	Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079)	1/79	4.261217e-02	6.865295e-02	0	0	2.552692e+01	8.055315e+01	CCND1
GO_Biological_Process_2023	Glycoprotein Biosynthetic Process (GO:0009101)	1/80	4.314082e-02	6.895738e-02	0	0	2.520253e+01	7.921875e+01	NPC1
GO_Biological_Process_2023	Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)	1/82	4.419733e-02	7.009420e-02	0	0	2.457778e+01	7.666032e+01	LY96
GO_Biological_Process_2023	Negative Regulation Of Cell Cycle (GO:0045786)	1/85	4.578010e-02	7.121479e-02	0	0	2.369643e+01	7.307755e+01	CDK6
GO_Biological_Process_2023	Regulation Of Osteoblast Differentiation (GO:0045667)	1/85	4.578010e-02	7.121479e-02	0	0	2.369643e+01	7.307755e+01	CDK6
GO_Biological_Process_2023	Exocytosis (GO:0006887)	1/86	4.630716e-02	7.121479e-02	0	0	2.341647e+01	7.194614e+01	TMED10
GO_Biological_Process_2023	Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990)	1/86	4.630716e-02	7.121479e-02	0	0	2.341647e+01	7.194614e+01	CDK6
GO_Biological_Process_2023	Regulation Of Epithelial Cell Proliferation (GO:0050678)	1/91	4.893849e-02	7.437914e-02	0	0	2.211000e+01	6.671010e+01	CDK6
GO_Biological_Process_2023	B Cell Activation (GO:0042113)	1/92	4.946396e-02	7.437914e-02	0	0	2.186593e+01	6.574017e+01	CTPS1
GO_Biological_Process_2023	Steroid Metabolic Process (GO:0008202)	1/92	4.946396e-02	7.437914e-02	0	0	2.186593e+01	6.574017e+01	NPC1
GO_Biological_Process_2023	Recombinational Repair (GO:0000725)	1/95	5.103880e-02	7.618291e-02	0	0	2.116489e+01	6.296914e+01	NPC1
GO_Biological_Process_2023	Monocarboxylic Acid Metabolic Process (GO:0032787)	1/97	5.208737e-02	7.718056e-02	0	0	2.072188e+01	6.122967e+01	NPC1
GO_Biological_Process_2023	Mitochondrial Translation (GO:0032543)	1/98	5.261126e-02	7.739193e-02	0	0	2.050722e+01	6.039016e+01	MRPL47
GO_Biological_Process_2023	Response To UV (GO:0009411)	1/100	5.365826e-02	7.836422e-02	0	0	2.009091e+01	5.876832e+01	CCND1
GO_Biological_Process_2023	Regulation Of Protein Secretion (GO:0050708)	1/102	5.470420e-02	7.932109e-02	0	0	1.969109e+01	5.721866e+01	TMED10
GO_Biological_Process_2023	Mitochondrial Gene Expression (GO:0140053)	1/103	5.522678e-02	7.951089e-02	0	0	1.949706e+01	5.646948e+01	MRPL47
GO_Biological_Process_2023	Protein Modification Process (GO:0036211)	2/711	5.611784e-02	7.988141e-02	0	0	6.042940e+00	1.740549e+01	CDK6;NPC1
GO_Biological_Process_2023	Lysosomal Transport (GO:0007041)	1/105	5.627114e-02	7.988141e-02	0	0	1.912019e+01	5.501976e+01	NPC1
GO_Biological_Process_2023	Positive Regulation Of Translation (GO:0045727)	1/108	5.783572e-02	8.147150e-02	0	0	1.858131e+01	5.295949e+01	PABPC1
GO_Biological_Process_2023	Negative Regulation Of Developmental Process (GO:0051093)	1/109	5.835672e-02	8.147150e-02	0	0	1.840833e+01	5.230140e+01	CDK6
GO_Biological_Process_2023	Response To Lipid (GO:0033993)	1/110	5.887746e-02	8.147150e-02	0	0	1.823853e+01	5.165694e+01	LY96
GO_Biological_Process_2023	T Cell Activation (GO:0042110)	1/111	5.939794e-02	8.147150e-02	0	0	1.807182e+01	5.102570e+01	CTPS1
GO_Biological_Process_2023	Double-Strand Break Repair Via Homologous Recombination (GO:0000724)	1/111	5.939794e-02	8.147150e-02	0	0	1.807182e+01	5.102570e+01	NPC1
GO_Biological_Process_2023	Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900)	1/112	5.991816e-02	8.163347e-02	0	0	1.790811e+01	5.040731e+01	CCND1
GO_Biological_Process_2023	Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888)	1/115	6.147724e-02	8.319920e-02	0	0	1.743421e+01	4.862555e+01	TMED10
